Student ID,ES 1.1 (2 points),ES 1.2 (3 points),ES 2.1(2 points),ES 2.2(3 points),ES 3.1(1 points),ES 3.2(2 points),ES 3.3(2 points),ES 3.4(2 points),ES 3.5(3 points),ES 4.1(15 points),ES 4.2(10 points),ES 5.1(2 points),ES 5.2(10 points),ES 5.3(3 points),ES 6.1(25 points),ES 6.2(15 points),TOTAL(100 points)
Total Points,2,3,2,3,1,2,2,2,3,15,10,2,10,3,25,15,100
3,2,3,1,2,1,2,2,2,3,15,10,1,5,3,18,15,85
6,2,3,2,3,1,2,2,0,3,15,7,2,9,3,13,15,82
7,2,3,1,1.5,1,2,0,0,3,5,4,0,0,3,17,10,52.5
10,2,3,2,1.5,1,2,0,2,3,11,1,2,10,1.5,7,10,59
13,2,3,2,1.5,1,2,2,2,3,14.5,10,2,2,3,25,15,90
15,2,3,1,2,1,2,2,2,3,15,10,2,4,1.5,2,15,67.5
16,2,3,1,0,1,2,2,2,3,3,9,1,0,3,20,15,67
17,2,3,1,2,1,2,2,2,3,15,10,2,10,3,24,15,97
18,1,3,2,3,1,2,2,2,3,15,7,2,2.5,1.5,5,10,62
20,2,3,2,0,1,2,2,2,1.5,15,10,0,0,3,5,10,58.5
24,2,3,1,1.5,1,2,2,2,3,11,1,0,0,3,0,0,32.5
27,2,3,1,2,1,2,0,2,3,15,9,0,0,0,24.5,10,74.5
28,2,3,1,2,1,2,2,2,0,15,8.5,2,4,3,19,13,79.5
29,2,3,2,0,1,2,2,2,3,15,10,2,10,3,25,15,97
30,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,0,7
32,2,3,2,1.5,1,2,2,2,3,15,10,2,10,3,12,5,75.5
36,2,3,1,0,1,1,0,2,3,13,9,2,10,3,16,13,79
37,2,3,1,0,0,2,0,2,0,8,1,0,0,0,0,0,19
39,2,3,2,0,0,0,0,2,0,3,4,0,0,0,10,15,41
41,2,3,2,3,1,2,2,2,3,13,10,2,10,3,25,15,98
44,2,3,1,2,1,2,2,2,3,3,7,0,5,3,4,10,50
46,2,3,1,0,1,2,0,0,0,2,1,0,0,0,0,0,12
48,2,3,2,3,1,2,2,2,3,15,7,0,2.5,2,10,15,71.5
51,1.5,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,8.5
53,1,3,1,1,1,2,2,2,3,15,7,1,8,1.5,12,10,70.5
56,2,3,2,2,1,2,2,0,0,15,10,1,4,1.5,18,8,71.5
59,2,3,2,0,1,2,2,2,3,3,7,2,8,3,0,0,40
62,2,3,1,0,1,2,2,2,3,3,3,0,0,0,0,0,22
63,2,3,2,2,1,2,2,2,3,7,6,2,10,3,12,10,69
66,2,3,2,3,1,2,2,2,3,15,10,2,8,3,18,10,86
67,2,3,1,2,1,2,2,2,3,14.5,10,2,8,3,15,10,80.5
68,2,3,2,3,1,2,2,1.5,3,13,7,2,10,3,5,3,62.5
72,2,3,2,2,1,2,2,2,3,15,7,2,10,3,24,15,95
73,2,3,1,0,1,2,0,0,3,3,4,0,0,1.5,3,5,28.5
74,1.5,2,1.5,0,1,2,0,2,3,3,2,0,0,0,0,0,18
76,2,3,2,1.5,1,2,2,2,2,15,10,2,10,3,24,12,93.5
78,2,3,1,2,1,2,2,2,3,15,4,0,5,1.5,24.5,10,78
81,2,3,1,0,1,2,2,2,3,15,7,2,4,3,25,15,87
83,2,3,2,0,1,2,0,2,0,3,3,2,4,1.5,10,0,35.5
85,2,3,2,1.5,1,2,2,2,3,13,10,2,0,1.5,25,12,82
86,2,3,2,3,1,2,2,2,3,15,10,1,5,3,25,15,94
87,2,3,1.5,1.5,1,2,2,2,3,3,4,0,0,0,8,13,46
88,2,3,1,2,1,2,2,2,3,15,10,2,8,3,25,15,96
89,2,3,1.5,0,1,2,0,2,3,0,2,0,0,0,0,0,16.5
92,1.5,3,1,0,1,2,0,2,0,3,6,0,0,0,0,0,19.5
93,2,3,2,1.5,1,2,2,2,3,3,6,0,0,1.5,24,13,66
96,2,3,2,1.5,1,2,2,2,3,15,7,2,10,3,12,10,77.5
98,2,3,1,2,1,2,2,2,3,13,10,2,4,1.5,10,8,66.5
99,1.5,3,0,0,1,2,0,2,0,0,0,0,0,0,0,0,9.5
100,2,3,1,1.5,1,2,2,2,3,13,7,2,8,1.5,24,10,83
101,2,3,0.5,1,1,2,0,0,3,3,3,0,0,0,0,0,18.5
106,2,3,1.5,0,1,2,2,2,3,3,4,0,0,0,7,15,45.5
