1,94.5
2,44
3,85
4,30
5,38.5
6,82
7,52.5
8,8.5
9,18.5
10,59
11,60
12,40.5
13,90
14,64
15,67.5
16,67
17,97
18,62
19,50
20,58.5
22,40
24,32.5
25,57.5
27,74.5
28,79.5
29,97
30,7
32,75.5
33,30.5
34,18
36,79
37,19
38,41.5
39,41
41,98
42,22.5
44,50
45,46
46,12
47,28
48,71.5
49,30.5
51,8.5
52,36
53,70.5
54,39
55,36.5
56,71.5
57,23
58,48
59,40
60,16.5
61,57.5
62,22
63,69
64,20.5
66,86
67,80.5
68,62.5
69,23.5
70,60.5
71,90.5
72,95
73,28.5
74,18
75,87.5
76,93.5
77,66.5
78,78
79,84.5
80,51.5
81,87
82,13.5
83,35.5
85,82
86,94
87,46
88,96
89,16.5
91,66.5
92,19.5
93,66
94,92.5
95,52.5
96,77.5
98,66.5
99,9.5
100,83
101,18.5
102,31.5
103,18.5
104,92
106,45.5
