Student ID,ES 1.1 (2 points),ES 1.2 (3 points),ES 2.1(2 points),ES 2.2(3 points),ES 3.1(1 points),ES 3.2(2 points),ES 3.3(2 points),ES 3.4(2 points),ES 3.5(3 points),ES 4.1(15 points),ES 4.2(10 points),ES 5.1(2 points),ES 5.2(10 points),ES 5.3(3 points),ES 6.1(25 points),ES 6.2(15 points),TOTAL(100 points)
Total Points,2,3,2,3,1,2,2,2,3,15,10,2,10,3,25,15,100
1,2,3,1,0.5,1,2,2,2,3,15,10,2,10,3,25,13,94.5
2,2,3,2,0.5,1,2,0,2,3,15,2,0,5,1.5,5,0,44
4,2,3,1,0.5,1,2,0,2,0,3,4,0,1.5,0,5,5,30
5,2,3,2,1.5,1,2,2,2,3,3,2,1.5,9,1.5,2,1,38.5
7,2,3,1,1.5,1,2,2,2,3,15,10,1,2.5,0,20,12,78
8,0.5,3,0,0,1,2,0,2,0,0,0,0,0,0,0,0,8.5
9,2,3,1,0.5,1,2,2,2,3,2,0,0,0,0,0,0,18.5
11,2,3,1,0.5,1,2,2,2,3,12,3,2,8,1.5,12,5,60
12,2,3,0.5,2,1,2,0,2,3,15,2,0.5,5.5,2,0,0,40.5
14,2,3,2,3,1,2,2,2,3,3,10,2,8,3,9,9,64
19,2,3,1,2,1,2,2,2,3,15,3,1.5,2,1.5,5,4,50
20,2,3,2,3,1,2,2,2,3,15,10,2,8,3,25,14.5,97.5
22,2,3,1,0.5,1,2,2,0,3,4,0,0,0,1.5,10,10,40
24,2,3,1,0.5,1,2,2,2,3,15,4,2,10,3,15,5,70.5
25,2,3,2,0,1,2,2,2,3,15,5,2,10,1.5,2,5,57.5
30,2,3,2,2,1,2,2,2,3,12,8,1,5,1.5,4,5,55.5
33,2,3,2,1.5,1,0,0,2,3,3,3,1,7.5,1.5,0,0,30.5
34,2,3,2,0.5,1,2,1.5,2,0,4,0,0,0,0,0,0,18
37,2,3,2,1.5,0.5,2,0,2,0,14,3,0,0,0,0,0,30
38,2,3,2,0.5,1,2,2,2,3,15,4,1,2.5,1.5,0,0,41.5
39,2,3,1,0,1,0,0,2,0,15,10,2,8,2.5,24,13,83.5
42,2,3,1,0.5,1,2,0,2,3,4,2,0.5,0,1.5,0,0,22.5
44,2,3,2,3,1,2,2,2,3,15,10,2,10,3,24,13.5,97.5
45,2,3,1,2,1,2,2,2,3,15,3,1.5,6.5,2,0,0,46
46,2,3,1,0,1,0,0,2,0,4,4,0,0,0,5,0,22
47,2,3,1,1.5,1,2,0,2,3,7,2,1,1.5,1,0,0,28
49,2,3,2,0.5,1,2,0,2,0,4,2,0.5,4,1.5,2,4,30.5
51,1.5,3,0.5,0,1,2,0,0,0,0,1,0,0,0,0,0,9
52,2,2,2,0,1,2,0,0,0,4,2,0,0,3,8,10,36
54,2,3,1,1.5,1,2,0,2,3,15,2,0,5,1.5,0,0,39
55,2,3,2,1.5,1,2,2,2,3,4,7,0,0,0,7,0,36.5
56,2,3,2,3,1,2,2,2,3,15,10,2,10,3,15,9,84
57,0.5,2,1,0.5,1,2,0,2,3,2,0,0,0,0,5,4,23
58,2,3,1,2,1,2,0,2,3,14,2,1,5,2,5,3,48
59,0,3,2,0,0,2,0,2,0,3,3,1,2.5,0,5,6,29.5
60,2,3,1,0,1,2,0,0,0,3,2,1,0,1.5,0,0,16.5
61,1.5,1.5,2,2,1,2,0,2,3,15,4,0.5,3,1,19,0,57.5
62,2,3,2,0,1,2,2,2,0,3,6,2,7.5,1.5,4,5,43
64,1,2,1,0.5,1,2,2,2,3,4,2,0,0,0,0,0,20.5
67,2,3,0.5,0,1,2,2,2,3,15,10,2,7,3,24.5,15,92
68,2,2,1,3,1,2,2,2,3,15,10,2,10,3,19,14,91
69,1.5,3,1.5,0.5,1,2,0,2,3,3,1,0,0,0,5,0,23.5
70,2,3,2,2,1,2,2,2,3,15,8.5,1,0,0,12,5,60.5
71,2,3,2,2,1,2,2,2,3,15,10,0.5,5,1.5,25,14.5,90.5
73,2,3,1,0.5,1,2,2,2,3,15,4,0,0,1.5,8,4,49
75,2,2,2,1.5,1,2,2,2,3,15,10,2,7.5,1.5,24,10,87.5
77,2,3,1,0.5,1,2,2,2,3,15,4,1.5,6,1.5,16,6,66.5
79,2,3,1,1.5,0.5,2,2,2,3,13,4,1,9,1.5,25,14,84.5
80,2,3,1,0.5,1,2,2,2,3,7,4,0,7.5,1.5,5,10,51.5
82,2,3,1,0.5,1,2,0,0,0,2,2,0,0,0,0,0,13.5
83,2,3,2,0.5,1,0,2,2,0,7,5,0.5,7,0,13,7,52
87,2,3,1,2,1,2,2,2,3,15,10,2,10,1.5,10,8,74.5
91,2,2,1,2,1,2,2,2,3,5,10,0,5.5,2,17,10,66.5
92,2,3,2,0.5,1,2,0,2,0,15,3,1,2.5,1,0,0,35
94,2,3,1,2,1,2,2,2,3,15,8.5,2,9,2,25,13,92.5
95,2,3,1,0.5,1,2,0,2,3,15,8,0,0,0,10,5,52.5
99,2,2,0,0,1,2,0,2,3,2,3,0,0,0,0,0,17
101,2,2,1,2,1,2,1.5,2,2,5,1,0,0,1.5,4,5,32
102,2,3,1,1.5,1,0,0,2,3,12,3,0,0,0,2,1,31.5
103,2,3,1,1.5,1,2,0,2,3,3,0,0,0,0,0,0,18.5
104,2,3,1,1.5,1,2,2,2,3,15,9,2,8,3,24.5,13,92
106,2,3,1,1.5,1,2,2,2,3,7,7.5,1,1.5,1.5,25,10,71
